cell_type,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24,sample25,sample26,sample27,sample28,sample29,sample30,sample31,sample32,sample33,sample34,sample35,sample36,sample37,sample38,sample39,sample40,sample41,sample42,sample43,sample44,sample45,sample46,sample47,sample48,sample49,sample50,sample51,sample52,sample53,sample54,sample55,sample56,sample57,sample58,sample59,sample60,sample61,sample62,sample63,sample64,sample65,sample66,sample67,sample68,sample69,sample70,sample71,sample72,sample73,sample74,sample75,sample76,sample77,sample78,sample79,sample80,sample81,sample82,sample83,sample84,sample85,sample86,sample87,sample88,sample89,sample90,sample91,sample92,sample93,sample94,sample95,sample96,sample97,sample98,sample99,sample100,sample101,sample102,sample103,sample104,sample105,sample106,sample107,sample108,sample109,sample110,sample111,sample112,sample113,sample114,sample115,sample116,sample117,sample118,sample119,sample120,sample121,sample122,sample123,sample124,sample125,sample126,sample127,sample128,sample129,sample130,sample131,sample132,sample133,sample134,sample135,sample136,sample137,sample138,sample139,sample140,sample141,sample142,sample143,sample144,sample145,sample146,sample147,sample148,sample149,sample150,sample151,sample152,sample153,sample154,sample155,sample156,sample157,sample158,sample159,sample160,sample161,sample162,sample163,sample164,sample165,sample166,sample167,sample168,sample169,sample170,sample171,sample172,sample173,sample174,sample175,sample176,sample177,sample178,sample179,sample180,sample181,sample182,sample183,sample184,sample185,sample186,sample187,sample188,sample189,sample190,sample191,sample192,sample193,sample194,sample195,sample196,sample197,sample198,sample199,sample200,sample201,sample202,sample203,sample204,sample205,sample206,sample207,sample208,sample209,sample210,sample211,sample212,sample213,sample214,sample215,sample216,sample217,sample218,sample219,sample220,sample221,sample222,sample223,sample224,sample225,sample226,sample227,sample228,sample229,sample230,sample231,sample232,sample233,sample234,sample235,sample236,sample237,sample238,sample239,sample240,sample241,sample242,sample243,sample244,sample245,sample246,sample247,sample248,sample249,sample250,sample251,sample252,sample253,sample254,sample255,sample256,sample257,sample258,sample259,sample260,sample261,sample262,sample263,sample264,sample265,sample266,sample267,sample268,sample269,sample270,sample271,sample272,sample273,sample274,sample275,sample276,sample277,sample278,sample279,sample280,sample281,sample282,sample283,sample284,sample285,sample286,sample287,sample288,sample289,sample290,sample291,sample292,sample293,sample294,sample295,sample296,sample297,sample298,sample299,sample300,sample301,sample302,sample303,sample304,sample305,sample306,sample307,sample308,sample309,sample310,sample311,sample312,sample313,sample314,sample315,sample316,sample317,sample318,sample319,sample320,sample321,sample322,sample323,sample324,sample325,sample326,sample327,sample328,sample329,sample330,sample331,sample332,sample333,sample334,sample335,sample336,sample337,sample338,sample339,sample340,sample341,sample342,sample343,sample344,sample345,sample346,sample347,sample348,sample349,sample350,sample351,sample352,sample353,sample354,sample355,sample356,sample357,sample358,sample359,sample360,sample361,sample362,sample363,sample364,sample365,sample366,sample367,sample368,sample369,sample370,sample371,sample372,sample373,sample374,sample375,sample376,sample377,sample378,sample379,sample380,sample381,sample382,sample383,sample384,sample385,sample386,sample387,sample388,sample389,sample390,sample391,sample392,sample393,sample394,sample395,sample396,sample397,sample398,sample399,sample400,sample401,sample402,sample403,sample404,sample405,sample406,sample407,sample408,sample409,sample410,sample411,sample412,sample413,sample414,sample415,sample416,sample417,sample418,sample419,sample420,sample421,sample422,sample423,sample424,sample425,sample426,sample427,sample428,sample429,sample430,sample431,sample432,sample433,sample434,sample435,sample436,sample437,sample438,sample439,sample440,sample441,sample442,sample443,sample444,sample445,sample446,sample447,sample448,sample449
B cell_TIMER,0.095134892,0.089742564,0.095689132,0.099974708,0.09232056,0.103152687,0.091760983,0.152159258,0.095253743,0.101219421,0.079963622,0.101122146,0.103254123,0.097380325,0.106920212,0.087192833,0.091722209,0.099789641,0.084931496,0.085800619,0.098244491,0.107837998,0.084345065,0.097524367,0.087331036,0.088254927,0.092786204,0.103430257,0.09715863,0.126004183,0.099662341,0.09979938,0.085893795,0.075319057,0.087346705,0.111022162,0.090807942,0.111760735,0.100870014,0.150003154,0.09030355,0.103519298,0.10759324,0.090509097,0.094459487,0.100142215,0.093818876,0.089848787,0.100018797,0.091865737,0.091246429,0.098828906,0.103821534,0.099683783,0.09187362,0.10011684,0.10251947,0.091366368,0.097689667,0.08905888,0.090982221,0.088211873,0.082717633,0.101221935,0.119853247,0.087419472,0.081510657,0.087693113,0.088015075,0.103741899,0.098631293,0.092449028,0.091770331,0.11272749,0.094969248,0.091386781,0.097056619,0.10294319,0.097596126,0.096476736,0.098365889,0.100231884,0.101287416,0.094774166,0.097485789,0.109296072,0.093642221,0.115405722,0.149701346,0.109495329,0.088579106,0.106930607,0.087437052,0.09215164,0.092605772,0.113562876,0.091216144,0.108552378,0.092657857,0.093873864,0.101279739,0.10718381,0.100487265,0.106739715,0.082431205,0.093447251,0.095034943,0.093874032,0.097558956,0.088102411,0.098986707,0.096156899,0.097351093,0.090662451,0.100672132,0.090417922,0.08780982,0.103433322,0.085853265,0.101670075,0.104806833,0.095833563,0.089923462,0.186058186,0.090167801,0.078907272,0.083206362,0.06486497,0.096495099,0.094857479,0.104818989,0.090566931,0.089610969,0.125873666,0.1005533,0.09642939,0.17204744,0.105154039,0.095739707,0.099076412,0.092317281,0.093639797,0.093149514,0.10051854,0.105761561,0.098495667,0.079322292,0.086917089,0.091305382,0.100435153,0.088354833,0.086685049,0.104367439,0.091197456,0.088929793,0.101098315,0.090110028,0.089415484,0.095184645,0.083432567,0.09034575,0.101294625,0.085976555,0.094483106,0.154365823,0.195478391,0.08608605,0.110962896,0.124811064,0.096172574,0.089756339,0.090022198,0.087552573,0.102645589,0.143189842,0.105617518,0.118153034,0.08322297,0.089835856,0.088323963,0.093857796,0.093313662,0.088517519,0.088326971,0.091835938,0.092211149,0.134495294,0.082128127,0.086497984,0.089052723,0.082874765,0.093024878,0.093735455,0.103957359,0.094772695,0.084486855,0.090888775,0.103401978,0.08827153,0.088550271,0.088734078,0.086235992,0.090263072,0.129182478,0.083007222,0.083843981,0.094902395,0.101066905,0.0875562,0.081361595,0.100332782,0.078959586,0.093153385,0.091268146,0.094494829,0.09104026,0.140384353,0.085707963,0.090040784,0.087574386,0.11257086,0.162213977,0.111455151,0.109169082,0.088020755,0.088230298,0.186747729,0.08667636,0.148000989,0.087198218,0.086448646,0.08649138,0.082611015,0.088597411,0.106871424,0.091041582,0.093389671,0.082002134,0.093096994,0.088508786,0.118144202,0.128422446,0.090191192,0.084609561,0.089684213,0.099878717,0.087118619,0.081942085,0.091111508,0.089001145,0.15034868,0.087574236,0.087707032,0.09801159,0.091781204,0.085845289,0.087431187,0.138727105,0.143943183,0.08955101,0.103961478,0.087211909,0.08406137,0.094307025,0.09402511,0.087241192,0.083827944,0.083546911,0.106574109,0.088832131,0.093458916,0.096375076,0.087757865,0.084111773,0.150507349,0.087322417,0.094678173,0.087217283,0.088495762,0.075538842,0.093932474,0.112848111,0.085485924,0.085429932,0.098925544,0.092745776,0.110247149,0.083833024,0.251471121,0.080927085,0.089265997,0.084532653,0.104257936,0.086778415,0.083356681,0.079159729,0.115746444,0.09075642,0.084378118,0.079079136,0.096961811,0.112115832,0.082646694,0.088182159,0.084305129,0.127209848,0.085992991,0.134376394,0.098692807,0.077343808,0.128600594,0.080575478,0.091181198,0.07832246,0.080569738,0.092667594,0.095759716,0.135137073,0.078427434,0.098037783,0.087770925,0.124583843,0.083441672,0.076526173,0.082803136,0.066313891,0.182080978,0.083434432,0.082119474,0.081886003,0.123215082,0.079848471,0.085752792,0.086441935,0.082775122,0.078607301,0.090798579,0.082256686,0.079477359,0.084738158,0.081416384,0.243476262,0.085929645,0.137197004,0.062061991,0.10957444,0.079486659,0.181543558,0.075133847,0.092036839,0.097336047,0.094398627,0.089619099,0.154437096,0.107402414,0.08639001,0.084631893,0.080813419,0.102837507,0.093936896,0.085267008,0.105519399,0.098194079,0.096118124,0.113355508,0.113214195,0.086265643,0.078604901,0.106292347,0.112677301,0.102266411,0.194488076,0.080935235,0.083203236,0.122296754,0.129316409,0.109153681,0.088411435,0.115002487,0.098165034,0.090842942,0.077710786,0.08978219,0.07905814,0.076557027,0.110954576,0.119834116,0.083205962,0.086042576,0.08267544,0.108972073,0.092335648,0.083602628,0.089725609,0.087752813,0.076013513,0.13013629,0.075867993,0.092581509,0.083916579,0.09179067,0.096586939,0.102212602,0.100735466,0.073398884,0.093158257,0.090336713,0.089239978,0.092575991,0.153112557,0.110242109,0.095479583,0.110017253,0.092217577,0.082354293,0.096172109,0.087547662,0.087005347,0.099636822,0.092726758,0.110833178,0.100947149,0.09193167,0.095282558,0.12392705,0.097694526,0.101730008,0.092874921,0.087651135,0.094830304,0.098258326,0.086331576,0.105906459,0.08875983,0.107246024,0.127904538,0.088466887,0.093997516,0.102128904,0.081001652,0.094102393,0.113986977,0.108351077,0.112847864,0.090634527,0.096316016,0.107116118,0.091765902,0.0969703
T cell CD4+_TIMER,0.100823548,0.096472654,0.1390592,0.099634152,0.096841565,0.095752716,0.104996252,0.165428623,0.105942896,0.134470616,0.125498153,0.104779721,0.121215042,0.117469492,0.131085598,0.1406796,0.119695515,0.117718722,0.119445391,0.104788713,0.121277322,0.114048024,0.119868709,0.108160234,0.098726642,0.105569586,0.10540463,0.105008878,0.105454905,0.150013985,0.11640498,0.125644392,0.110627019,0.08803176,0.105823222,0.122484405,0.133703052,0.109619758,0.120606726,0.252456094,0.107089394,0.135845149,0.103828917,0.141459702,0.102496674,0.089445155,0.11804834,0.12862106,0.130076443,0.099961683,0.10743103,0.112395662,0.140555178,0.123283273,0.101829662,0.110951208,0.135149727,0.103417676,0.115283647,0.100921165,0.118474669,0.1155761,0.127003336,0.115309386,0.145766027,0.103572596,0.106811417,0.110503939,0.106861719,0.123479214,0.102915127,0.111770194,0.111922328,0.10607382,0.111722932,0.139263763,0.104977442,0.166712408,0.131675545,0.127190762,0.121550282,0.103481394,0.131784683,0.099611176,0.106663408,0.120919837,0.123777776,0.118917462,0.205460216,0.142665767,0.110793975,0.082717897,0.112305743,0.101587384,0.109767601,0.136332241,0.109634826,0.132857881,0.096353252,0.112360214,0.131991244,0.115994699,0.10710451,0.131241673,0.114210599,0.114136768,0.094154571,0.091304844,0.120804081,0.121582222,0.115766114,0.122459372,0.133611396,0.120343508,0.111148491,0.112962728,0.129569473,0.125869313,0.126623245,0.111529993,0.108919291,0.109445684,0.126021372,0.166646826,0.096134374,0.120460584,0.105615411,0.12315628,0.115238665,0.100830086,0.166660533,0.100020474,0.139346405,0.144837483,0.109673755,0.109256497,0.163964943,0.115077819,0.106069093,0.133723705,0.098650325,0.108759152,0.110121482,0.101890507,0.110764824,0.113143337,0.119291796,0.146028082,0.110296344,0.095724126,0.122718361,0.103240188,0.108383229,0.112330363,0.131673153,0.116177797,0.126650081,0.101946528,0.09321416,0.107353631,0.103882075,0.099281659,0.105146611,0.098127773,0.185288714,0.19897738,0.115177035,0.15475089,0.128456856,0.111556464,0.093288021,0.094972985,0.143108243,0.113883589,0.169233478,0.143960159,0.15825652,0.105982825,0.102161393,0.120974503,0.093875792,0.111621063,0.095523734,0.113930003,0.102946606,0.105356669,0.120212946,0.111862537,0.110275599,0.118135453,0.113951633,0.095913017,0.109691555,0.141618606,0.112757674,0.118668915,0.107665464,0.145053238,0.106761197,0.120013688,0.090536294,0.11263586,0.086749216,0.136253575,0.100833109,0.119924249,0.159497732,0.089086158,0.100368341,0.093171603,0.078500873,0.135172991,0.086783148,0.095478712,0.106238674,0.091395382,0.300325006,0.107384819,0.090897864,0.09634727,0.146455096,0.176235806,0.159957642,0.113316664,0.115288821,0.097951135,0.35212339,0.110609016,0.190196874,0.094246324,0.085743552,0.115212266,0.097689732,0.127550902,0.138352172,0.130845432,0.118896998,0.088922765,0.092093973,0.085340379,0.096059231,0.161930936,0.089965136,0.10526102,0.080886952,0.09932583,0.085163186,0.097026882,0.092445167,0.101504143,0.186547321,0.122621054,0.092986986,0.10812758,0.114773913,0.097624261,0.10435439,0.147821384,0.154417119,0.090472108,0.136606847,0.104968074,0.094845799,0.093163891,0.130475625,0.117726059,0.09984357,0.096115955,0.082905039,0.105610289,0.12981053,0.083270779,0.115630737,0.107598639,0.15920742,0.111754178,0.132526903,0.094417857,0.113860793,0.103468013,0.100968459,0.165021872,0.100154625,0.092829634,0.111021328,0.10507894,0.261498473,0.099919732,0.212026773,0.117040713,0.116149586,0.12128604,0.112577298,0.097169777,0.124596809,0.1170704,0.109321082,0.126092397,0.085966513,0.112002632,0.119335571,0.150769296,0.097485938,0.098254137,0.087913027,0.173810341,0.081967049,0.144024485,0.109527596,0.127723225,0.138324578,0.094626972,0.12083558,0.146855849,0.088655141,0.091226934,0.132045946,0.144148249,0.085742831,0.118711691,0.094721418,0.151580698,0.095153788,0.122059469,0.091006831,0.130735523,0.139945917,0.191323664,0.085226961,0.088824287,0.095829133,0.094670797,0.115648398,0.104530914,0.092960793,0.103594243,0.083040205,0.083965026,0.091190018,0.089867143,0.115318967,0.359309166,0.097910866,0.115918508,0.118255637,0.175428498,0.089695406,0.153726554,0.100567362,0.098646634,0.154537047,0.092673049,0.090766676,0.253779826,0.099367899,0.088702659,0.08144154,0.132412309,0.167910037,0.103054734,0.127098634,0.101991289,0.113608328,0.109337209,0.125317473,0.081760364,0.086219553,0.086327782,0.086015138,0.07180578,0.132214002,0.267026624,0.155981274,0.084293749,0.157170993,0.17992235,0.118359009,0.083144288,0.121861651,0.094691431,0.091605547,0.084669547,0.091043774,0.083738465,0.103212702,0.143765674,0.181368597,0.123902539,0.093593275,0.087848336,0.199676417,0.090732325,0.095406933,0.098655417,0.087073528,0.113281616,0.191866971,0.148577816,0.087846374,0.083694295,0.124892144,0.125594643,0.113246695,0.117011177,0.116225177,0.131218941,0.121890362,0.107947838,0.101834873,0.1418934,0.119062986,0.112170993,0.149987376,0.129980912,0.120668507,0.119365755,0.131642099,0.112028019,0.154669619,0.116124711,0.137355878,0.143126493,0.098472089,0.100562296,0.105129539,0.140790926,0.111155109,0.107364385,0.125214559,0.09974253,0.108455084,0.127645724,0.119262081,0.110686256,0.102648213,0.154044198,0.107573541,0.119681502,0.098497033,0.112442666,0.096714337,0.122310274,0.094224329,0.150851584,0.104036418,0.101831545,0.102441133,0.105409849,0.129490935
T cell CD8+_TIMER,0.211352024,0.211441088,0.2116092,0.222376401,0.211761171,0.214794159,0.217344208,0.214405952,0.21380265,0.218004136,0.246480544,0.19797303,0.204790496,0.199662224,0.198328981,0.183959675,0.215161938,0.218287817,0.201646739,0.207915326,0.20222459,0.214364464,0.201803195,0.215949221,0.211264384,0.229222199,0.198407761,0.212089602,0.20806742,0.182746189,0.199202902,0.230213187,0.212724853,0.269085248,0.214370428,0.221942343,0.212584715,0.206734415,0.196116929,0.205997986,0.205684265,0.200409609,0.222615417,0.193458999,0.211497268,0.204700353,0.223354338,0.19707303,0.208911907,0.207248765,0.210666204,0.216208047,0.224154197,0.19373794,0.204691178,0.206166674,0.207110449,0.204884579,0.200192508,0.203193294,0.235894439,0.210963715,0.217397879,0.221493104,0.192348408,0.205476469,0.266799891,0.219381367,0.205483923,0.209162084,0.209637378,0.211602161,0.211412187,0.204770721,0.205701258,0.205783611,0.203557867,0.211030385,0.19516136,0.215227214,0.197348007,0.204425344,0.209987016,0.203152878,0.213420722,0.215222694,0.20366014,0.212343647,0.180504531,0.208009155,0.210640627,0.281731498,0.218097452,0.201686045,0.220049664,0.19338455,0.211155428,0.225868387,0.205496471,0.204091501,0.207566387,0.23836641,0.198707042,0.198736174,0.261470795,0.200856256,0.200485353,0.209347423,0.2034117,0.209356974,0.209940153,0.209758893,0.192861795,0.221256097,0.213837416,0.198702964,0.231157611,0.207467095,0.239766183,0.195090702,0.207116919,0.206313787,0.231797632,0.174760225,0.205016136,0.221263927,0.215288305,0.228098168,0.201638616,0.200315951,0.223065715,0.195596992,0.220387503,0.209409773,0.197142732,0.231286061,0.213535875,0.212419525,0.204626451,0.210495682,0.211830476,0.20447184,0.193757934,0.205759071,0.224855031,0.200216008,0.245698381,0.18860238,0.19186536,0.210163729,0.217222452,0.212456916,0.210370884,0.22587488,0.217386065,0.213173882,0.21312445,0.221178226,0.209840556,0.206419227,0.219236178,0.213631202,0.221523912,0.213008171,0.204742742,0.200106335,0.202848773,0.197136522,0.212116329,0.201110307,0.217823795,0.208362627,0.224679505,0.225717612,0.211227649,0.214480309,0.2171948,0.226696939,0.210890469,0.188939905,0.209100568,0.19574521,0.206395461,0.210003743,0.204007938,0.206283983,0.207886145,0.211203141,0.21024484,0.207111808,0.204810377,0.213580068,0.20882527,0.206693522,0.198154008,0.224237144,0.210295613,0.212715187,0.217730572,0.199389896,0.206052799,0.206103422,0.210587531,0.23560015,0.213121457,0.224198954,0.219790027,0.211135775,0.217514814,0.229036749,0.21359724,0.22061151,0.214554532,0.206096018,0.213057342,0.209053339,0.179730603,0.20112193,0.209172628,0.21691467,0.221076943,0.219706454,0.208380936,0.218997892,0.20132931,0.210681655,0.187437054,0.204164577,0.201005614,0.210816555,0.211749198,0.214217955,0.229508991,0.207484663,0.189633625,0.216851018,0.204887127,0.231314658,0.217408193,0.208380741,0.203373507,0.191580048,0.204121431,0.208079557,0.20599679,0.222407567,0.210568731,0.206505235,0.211446744,0.207644784,0.179514976,0.21147341,0.204938246,0.217224458,0.19968068,0.207203164,0.213622715,0.215158409,0.197142305,0.214014627,0.211149135,0.21095463,0.208186512,0.212558157,0.210404042,0.206169583,0.214955634,0.209628492,0.223743825,0.20987324,0.203709497,0.221358084,0.20842747,0.220516461,0.220463207,0.202207363,0.214881932,0.210839072,0.197636254,0.241372565,0.212035547,0.209367076,0.212238769,0.209236196,0.199434919,0.22584172,0.130580254,0.209726872,0.156603438,0.208053584,0.237529935,0.211123742,0.227580338,0.220358475,0.217568114,0.232374446,0.231024871,0.218895413,0.232935557,0.213160365,0.211189561,0.191252276,0.201547546,0.230519038,0.211510073,0.185371904,0.206832944,0.211708829,0.20807584,0.205753802,0.18420865,0.204156752,0.220218275,0.201294037,0.229484303,0.215859918,0.220042589,0.221279333,0.203053644,0.250842724,0.200308955,0.211581445,0.195241627,0.226391773,0.216848158,0.212984362,0.226247149,0.228797927,0.20530233,0.200730249,0.176369597,0.202243615,0.226002021,0.201308275,0.211568253,0.214947657,0.217754348,0.201973064,0.209061876,0.210380391,0.195570303,0.273283579,0.210396349,0.203604223,0.204947422,0.208644051,0.226482728,0.189954322,0.21273579,0.204888868,0.178422194,0.231311902,0.20227755,0.295557877,0.220611444,0.217716577,0.203224023,0.175039699,0.201295886,0.206364487,0.20078205,0.211288967,0.207157237,0.228557447,0.219086358,0.223768664,0.214602153,0.218271858,0.214636086,0.232242525,0.197562888,0.176351076,0.154109481,0.206964336,0.172525584,0.176577983,0.215267217,0.212319946,0.218374516,0.220091369,0.214308648,0.211457656,0.230845125,0.209760416,0.212863774,0.212341878,0.190878203,0.206583938,0.205399321,0.205300978,0.2119365,0.221360406,0.231673733,0.216038355,0.203574491,0.210268883,0.212327377,0.247456206,0.220941754,0.20931346,0.230390894,0.214850899,0.212427193,0.209843439,0.208878474,0.212487011,0.212575635,0.213088299,0.205698379,0.232124721,0.207298498,0.213243945,0.199430588,0.19523307,0.215382458,0.201354221,0.242721508,0.217082368,0.212601224,0.199724595,0.208371933,0.194074104,0.206578372,0.212806941,0.208801196,0.209395697,0.209724548,0.207254452,0.2139699,0.205512709,0.21059051,0.219390987,0.213110546,0.205425504,0.205390728,0.200221876,0.231240508,0.200970264,0.20938054,0.219234916,0.211089656,0.215855784,0.216510259,0.198898413,0.214563626,0.208065293,0.212260565,0.197183399,0.212009092
Neutrophil_TIMER,0.121246747,0.121056386,0.125654345,0.122061462,0.121920412,0.119604872,0.119608028,0.139521071,0.118964727,0.139187805,0.134943091,0.119072457,0.118725241,0.119102362,0.119657154,0.129299433,0.126322123,0.120735211,0.141679133,0.119219911,0.120696011,0.119737314,0.126972587,0.128511623,0.12186658,0.129962351,0.125148414,0.120899828,0.120419965,0.147351188,0.121760648,0.124774946,0.114001293,0.128252141,0.116325197,0.121653884,0.126012865,0.123152354,0.125944381,0.134853951,0.122481936,0.1298605,0.117276021,0.130483273,0.117138352,0.118053976,0.139281954,0.129817406,0.124664867,0.121416949,0.126280818,0.121319895,0.129082535,0.124378836,0.118744697,0.119719247,0.139099805,0.119939446,0.124936188,0.116814208,0.129962584,0.122865693,0.121643185,0.124486358,0.139570617,0.117702814,0.136568443,0.127149598,0.119666275,0.124493919,0.121155192,0.120794759,0.121368191,0.115375486,0.124560073,0.127245026,0.121172168,0.132472878,0.121451349,0.127409664,0.121375322,0.117399852,0.130537903,0.117455368,0.121295383,0.123429962,0.124886173,0.126425081,0.123189522,0.124991071,0.122825485,0.131455346,0.123745793,0.118773499,0.119883848,0.127926048,0.126150087,0.160989992,0.118948629,0.121021023,0.130932796,0.12358089,0.120147044,0.126282469,0.13354787,0.124251032,0.116571401,0.122081167,0.125429509,0.128239642,0.121339519,0.126988841,0.117333356,0.130028945,0.120266972,0.128827675,0.127573491,0.123502289,0.13057985,0.123508804,0.118249253,0.12404242,0.12856171,0.121385578,0.119053914,0.11949549,0.127834638,0.131463103,0.123468671,0.119173165,0.131725494,0.119169637,0.12302472,0.13346332,0.120796192,0.110754617,0.135311197,0.119250327,0.12035831,0.124951681,0.121357056,0.121581937,0.120880898,0.120244271,0.122511776,0.12371624,0.135187613,0.144879472,0.122705048,0.118243053,0.129537238,0.121651634,0.120593259,0.117504826,0.136732392,0.1242326,0.135772334,0.121191458,0.119765093,0.122999641,0.119551038,0.123955095,0.124691342,0.121266818,0.11375737,0.12724465,0.135489595,0.127172254,0.123818367,0.119351682,0.118158119,0.117641218,0.138287814,0.125026161,0.130490237,0.121580335,0.12561887,0.119077556,0.123232555,0.165231793,0.11883533,0.125176984,0.118058442,0.12133612,0.118436346,0.120053876,0.117865744,0.12112708,0.11991551,0.127667655,0.121744162,0.119198524,0.122435216,0.148413435,0.122545502,0.121516714,0.121510718,0.138090858,0.12142133,0.115718315,0.122631452,0.123336368,0.120801872,0.122985045,0.12389072,0.126466578,0.130426584,0.116796904,0.13055494,0.144806207,0.118578639,0.131130971,0.119094687,0.122944999,0.12077564,0.123735714,0.140545622,0.125167601,0.117994615,0.120773613,0.122011435,0.140045833,0.134207634,0.126747487,0.119434375,0.122809542,0.132745911,0.12605479,0.12130168,0.119505342,0.117870811,0.130887477,0.121636688,0.140165939,0.127207186,0.130529154,0.131314918,0.122471292,0.123673798,0.119312567,0.11853148,0.124879468,0.118350479,0.121395055,0.117628275,0.12270465,0.116765959,0.119961824,0.120067718,0.119739349,0.125109449,0.125013137,0.119144467,0.123546054,0.120052307,0.12073875,0.122879052,0.123908852,0.123087548,0.120448974,0.123512057,0.129033476,0.121878717,0.120280718,0.122927289,0.128085358,0.122475516,0.119112363,0.127668067,0.121280954,0.122263642,0.116415227,0.124807949,0.125556308,0.130387855,0.12908547,0.124693995,0.123825475,0.125570346,0.132594894,0.119581243,0.132982983,0.121217388,0.121356162,0.118525383,0.131761094,0.148000078,0.122419485,0.135738415,0.129277049,0.12538791,0.122051732,0.121261489,0.130798204,0.125397781,0.121349375,0.124034774,0.133804683,0.124983598,0.128855709,0.125383647,0.127954434,0.116824294,0.132635171,0.114334732,0.123046154,0.116829257,0.136644352,0.122948054,0.135012524,0.13082323,0.116400291,0.132087601,0.128962629,0.122816875,0.1196586,0.126332768,0.121979426,0.11870517,0.12400096,0.11838049,0.121752096,0.117030216,0.123046676,0.11624645,0.139873895,0.126892323,0.131615487,0.116139709,0.119279509,0.117117864,0.115592994,0.12569918,0.119832075,0.119091147,0.121243832,0.120926088,0.115547492,0.118856827,0.121223331,0.127748298,0.153923033,0.116640499,0.164531348,0.130356224,0.130460149,0.127059427,0.119436484,0.127637295,0.112842993,0.118248028,0.120159589,0.116212982,0.133351437,0.113676527,0.115964401,0.113595839,0.136987601,0.133093609,0.108934052,0.123838195,0.124167602,0.120456252,0.128797994,0.135969935,0.11265077,0.119345122,0.119305089,0.114150512,0.115861722,0.123135949,0.132704555,0.150917151,0.115802731,0.138073253,0.120737498,0.130984409,0.117498436,0.118098922,0.126292456,0.119828953,0.113619885,0.12825666,0.116861324,0.13163842,0.132039509,0.202219922,0.124138841,0.11479555,0.115553512,0.135138341,0.118775589,0.122650585,0.119650548,0.114137988,0.118207867,0.135081849,0.134303715,0.116680919,0.112018481,0.126764121,0.128568412,0.119851605,0.125010191,0.161903874,0.142945473,0.117855435,0.124562452,0.118153015,0.129161488,0.123692405,0.130021923,0.125959569,0.133314279,0.123536538,0.122567684,0.128165314,0.12395925,0.142100756,0.122454568,0.127502501,0.121855321,0.120364889,0.116454502,0.120725055,0.124894879,0.121112419,0.119674635,0.118748532,0.117192395,0.11803047,0.124051778,0.126334297,0.120787245,0.1252599,0.121079669,0.124066316,0.131663368,0.116854311,0.12002236,0.119709221,0.120007149,0.139774067,0.118591847,0.123562586,0.118851505,0.115917615,0.11857738,0.120696801
